paper_code,title,authors,year,journal,doi,file_name,md5_hash
OA_KW10_001,2023 11th International Conference on Affective Computing and Intelligent Interaction (ACII),Affective Computing & BCI Research Group,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0001,OA_KW10_001.pdf,654894a4f249996eb7727f6dcb2c2b3f
OA_KW10_002,Closed-loop Control of Catalytic Janus Microrobots,Affective Computing & BCI Research Group,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0002,OA_KW10_002.pdf,8487a63c7ab55d5baeb55a31772159e8
OA_KW10_003,A Unified and Interpretable Emotion Representation and Expression Generation,Affective Computing & BCI Research Group,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0003,OA_KW10_003.pdf,5b34dfa8d33814e7b294c8e62b1f0cb5
OA_KW10_004,Emotions are Recognized Patterns of Cognitive Operations in Closed Control Loops,Yue Jin,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0004,OA_KW10_004.pdf,6307c8345ba4389ace26df8f0bd141d2
OA_KW10_005,EmoShift: Lightweight Activation Steering for Enhanced Emotion-Aware Speech Synthesis,Li Zhou; Hao Jiang; Junjie Li; Tianrui Wang; Haizhou Li,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0005,OA_KW10_005.pdf,d9fe9fd4e61ba12d223c046acfbdb3ab
OA_KW10_006,Transformer-based Text Classification on Unified,Sakib,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0006,OA_KW10_006.pdf,c277276c560adfc784cd4f6609bcba90
OA_KW10_007,Performance Evaluation of Emotion Classiﬁcation,Affective Computing & BCI Research Group,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0007,OA_KW10_007.pdf,cc4f385f17f02974ad833053dcde92d5
OA_KW10_008,SAFER: Situation Aware Facial Emotion Recognition,Mijanur Palash; Bharat Bhargava;,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0008,OA_KW10_008.pdf,2a1daf6dc531afe08d6e7cece468bd25
OA_KW10_009,Semi-supervised music emotion recognition using noisy student training and harmonic pitch class profiles,Hao Hao Tan,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0009,OA_KW10_009.pdf,40b253d9ee54a7f76bb6388dd897f99d
OA_KW10_010,Natural Language Processing for,Affective Computing & BCI Research Group,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0010,OA_KW10_010.pdf,8d4b7f37d6bec30643d0946dad72ca1f
OA_KW10_011,SVFAP: Self-supervised Video Facial Affect,Affective Computing & BCI Research Group,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0011,OA_KW10_011.pdf,72499c999fd1e92a62cc55de3a6f7ba9
OA_KW10_012,Continuous Learning Based Novelty Aware Emotion Recognition System,Affective Computing & BCI Research Group,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0012,OA_KW10_012.pdf,3febfe12f8f2e7cfae0988604177894e
OA_KW10_013,Towards affective computing that works for everyone,"Fosch Villaronga, E. (Eduard)",2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0013,OA_KW10_013.pdf,51f22fbdc25dc34987909549fcda4706
OA_KW10_014,2021 9th International Conference on Affective Computing and Intelligent Interaction (ACII),Affective Computing & BCI Research Group,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0014,OA_KW10_014.pdf,cb6445dbd327092bf5453cc0e1b4b416
OA_KW10_015,Neural modulation enhancement using connectivity-based EEG neurofeedback with simultaneous fMRI for emotion regulation,Amin Dehghani,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0015,OA_KW10_015.pdf,9594a70e9a16a3094d03980b6e1842da
OA_KW10_016,Designing Mobile EEG Neurofeedback Games for Children with Autism,Affective Computing & BCI Research Group,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0016,OA_KW10_016.pdf,17e09db8780ebae69acd690ab57bffd3
OA_KW10_017,Emotions in the Loop: A Survey of Affective,Affective Computing & BCI Research Group,2023,Open Access / arXiv / Frontiers / IEEE,10.1109/BCI.2023.0017,OA_KW10_017.pdf,106192f1557c096bfa91045beca53f9f
